Objects
100
,,Global Angle 111:111,,,,,,Global Angle 222:222,,,,,,Global Angle SIngleMarker:SIngleMarker,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
68,0,2.49855,1.69413,-1.67506,-263.158,131.955,715.517,-0.15895,0.319301,-1.34479,-270.48,98.4485,828.022,-0.176438,1.58564,0.16468,-206.774,125.063,709.095
69,0,2.49901,1.69125,-1.6762,-263.168,131.992,715.491,-0.158809,0.31958,-1.34473,-270.483,98.4593,828.014,-0.176161,1.58607,0.165053,-206.783,125.107,709.083
70,0,2.50192,1.69469,-1.67203,-263.123,132.089,715.496,-0.158501,0.319694,-1.34474,-270.484,98.4628,828.005,-0.175892,1.58613,0.164972,-206.793,125.123,709.079
71,0,2.50159,1.69164,-1.67389,-263.148,132.083,715.481,-0.158649,0.319856,-1.34474,-270.49,98.4698,827.999,-0.175683,1.5863,0.164983,-206.796,125.12,709.083
72,0,2.50182,1.69104,-1.67496,-263.165,132.07,715.426,-0.15891,0.319746,-1.34464,-270.502,98.4773,827.98,-0.175777,1.58596,0.164829,-206.821,125.114,709.051
73,0,2.50035,1.69216,-1.67433,-263.195,132.063,715.42,-0.159162,0.319693,-1.34471,-270.505,98.5067,827.974,-0.176061,1.58597,0.164558,-206.829,125.111,709.026
74,0,2.49891,1.69267,-1.67481,-263.184,132.045,715.387,-0.159516,0.319563,-1.34473,-270.505,98.5316,827.971,-0.176416,1.5865,0.164285,-206.838,125.088,709.005
75,0,2.49926,1.69352,-1.67514,-263.19,132.039,715.372,-0.163309,0.319091,-1.34508,-270.568,98.5834,828.056,-0.176439,1.58639,0.164065,-206.841,125.081,708.994
76,0,2.49827,1.69365,-1.67591,-263.186,132.012,715.355,-0.163256,0.318878,-1.34519,-270.568,98.5994,828.033,-0.177089,1.58639,0.16397,-206.842,125.085,708.967
77,0,2.49963,1.69558,-1.67235,-263.148,132.047,715.352,-0.163484,0.318933,-1.34509,-270.569,98.6148,828.02,-0.177093,1.58663,0.163949,-206.827,125.079,708.959
78,0,2.5006,1.69107,-1.67436,-263.189,132.047,715.371,-0.163294,0.318804,-1.3452,-270.568,98.6133,828.021,-0.176792,1.58644,0.163874,-206.829,125.084,708.968
79,0,2.50167,1.69492,-1.67288,-263.168,132.082,715.357,-0.162998,0.319039,-1.34518,-270.569,98.6017,828.009,-0.176369,1.58671,0.163971,-206.834,125.09,708.956
80,0,2.49966,1.69395,-1.67413,-263.178,132.101,715.341,-0.163033,0.319483,-1.3451,-270.564,98.5905,828.012,-0.176303,1.58643,0.164087,-206.841,125.116,708.95
81,0,2.50137,1.69289,-1.673,-263.177,132.127,715.357,-0.162917,0.319462,-1.34499,-270.558,98.5904,828.013,-0.176386,1.58653,0.164324,-206.843,125.141,708.959
82,0,2.49833,1.69303,-1.67528,-263.209,132.106,715.351,-0.162836,0.319436,-1.34486,-270.573,98.5911,828.02,-0.176376,1.58662,0.164367,-206.848,125.158,708.972
83,0,2.50081,1.69498,-1.67326,-263.169,132.147,715.351,-0.162594,0.319269,-1.34483,-270.584,98.6044,828.018,-0.176489,1.58614,0.164283,-206.838,125.183,708.979
84,0,2.4994,1.6952,-1.67294,-263.16,132.151,715.349,-0.162517,0.319057,-1.34501,-270.594,98.6171,828.028,-0.176392,1.58579,0.164221,-206.826,125.188,709.009
